"Accession","Mean","Median","Number of peptides","P-Value"
"P62873","0.088423821205308034","0.094419464088469005","9","0.25363181484425379"
"P78347","0.10705163777565703","0.1150070009287565","6","0.52988506769188926"
"P05388","0.14387873577137775","0.130346916763977","3","0.98457027733086067"
"Q96RT1","0.19736249188340735","0.19630161823943301","3","0.55005714448023757"
"Q8NDZ4","0.15941595757135849","0.21295453857375551","6","0.82110048961095705"
"Q9Y5U9","0.11353603379112409","0.11353603379112409","2","0.76295425170916109"
"P62910","0.1595562941496621","0.1595562941496621","2","0.89507637632387393"
"Q15005","0.19279732633941868","0.16612248067205648","6","0.44085852871003983"
"O00560","0.12232952911855943","0.15378656439903801","3","0.78874583337463056"
"Q8TCJ2","0.17246995154423361","0.16924475494834501","5","0.68852574184274851"
"P07355","0.10951024296156045","0.114828437116307","5","0.59138094782717454"
"Q16795","0.19782748316406665","0.15807250866220601","3","0.54648878640665"
"O76021","0.09679837203197772","0.086613842776131295","3","0.57378838764266304"
"P52272","0.12858482556392714","0.130294786430144","7","0.76489781490341824"
"Q96JJ7","0.25898066873243736","0.26739671359410699","3","0.19069714967277604"
"O94906","0.21243206066176831","0.163064401065002","3","0.4404029896046342"
"Q969N2","0.28874073659798299","0.303531471673329","5","0.032969615951746523"
"Q15149","0.141291164852694","0.141291164852694","2","0.96796204205939262"
"P39656","0.14357843405178336","0.13458341808774499","11","0.96517039772560365"
"O60476","0.2910937302387781","0.29059126296075999","7","0.010329025566726536"
"Q14108","0.36808447886228129","0.36439284593994403","6","0.00028310149245353738"
"Q15366","0.44348389338652733","0.139545082379328","3","0.00059102080005785085"
"Q15365","0.13081822983383651","0.13081822983383651","2","0.88959675986362685"
"O15258","0.062255634497308997","0.058693108388761697","3","0.33656217990022252"
"Q15363","0.1292242386187076","0.165635660587691","5","0.80783633955900491"
"O00400","0.0339703512869928","0.0339703512869928","2","0.2932271750545683"
"Q8N6T3","0.14027474774948134","0.15119900399091599","3","0.95142530835047356"
"Q9H0A0","0.13089971113952767","0.0992121972276475","3","0.86574021810470347"
"P29401","0.14004720266328169","0.101649616368807","5","0.93462156958820719"
"Q9UMS4","0.111384674625776","0.111384674625776","2","0.74755184824435206"
"Q12846","0.1157347757334983","0.104405546239319","5","0.65694850281524819"
"Q03519","0.059783755298861277","0.051738026522241701","7","0.13067464543064283"
"Q9H7F0","0.22971366952327907","0.24809860848086601","11","0.063020429987594787"
"Q9P2J5","0.022313715928042502","0.043747124635137101","3","0.15510182382762025"
"Q9ULC5","0.025209987656508601","0.0","3","0.16503537806105389"
"Q9BTU6","0.24644448205950634","0.22363301696233701","3","0.24446478593255569"
"Q8N5K1","0.045257474503626632","0.050611297014169901","3","0.24724156773382003"
"P18084","0.497533663606472","0.497533663606472","2","0.00091570245293306313"
"Q9UKR5","0.082890314445568297","0.082890314445568297","2","0.55500880374732153"
"P35241","0.109266555068914","0.109266555068914","2","0.73248577142057203"
"Q08209","0.061294992991806449","0.061294992991806449","2","0.42737779251554708"
"P98194","0.17986338981425362","0.15972033423156751","14","0.39255718785774862"
"O75533","0.11618731031850495","0.112398922472097","6","0.63184151163901858"
"P61158","0.17961937965045757","0.176882031872513","3","0.69433759215674395"
"O75821","0.21346164515478705","0.21346164515478705","2","0.52240891314726667"
"P35249","-0.154398274911377","-0.154398274911377","2","0.0047272021335778309"
"O75822","0.14565467161160739","0.14565467161160739","2","0.99925179362447314"
"O94779","0.64181405252701207","0.64442548110213704","3","1.0414018068608356e-08"
"Q07960","0.046986245082333199","0.046986245082333199","2","0.35316648762646652"
"P19256","0.27002429264828898","0.27002429264828898","2","0.24102425387207191"
"Q9UQE7","0.13190577197502501","0.13190577197502501","2","0.89769764760695969"
"Q5W111","0.15609022235571052","0.15609022235571052","2","0.92095115425216778"
"P04229","0.38705859666378201","0.38705859666378201","2","0.022919436375460248"
